Country,Year,Month,Temp,Humidity,Rain_fall,wind_speed
Viet Nam,1930,2,20.843,85,45.9573,1.7
Viet Nam,1930,3,21.1637,84,42.8068,1.7
Viet Nam,1930,4,26.5406,83,94.6376,1.5
Viet Nam,1930,5,26.97,77,220.309,1.5
Viet Nam,1930,6,27.5333,71,214.669,1.6
Viet Nam,1930,7,27.3791,80,234.358,1.5
Viet Nam,1930,8,27.0379,78,231.557,1.4
Viet Nam,1930,9,25.8204,82,220.743,1.4
Viet Nam,1930,10,24.8271,86,123.011,1.6
Viet Nam,1930,11,23.0156,86,170.344,1.7
Viet Nam,1930,12,21.3176,88,49.5406,1.5
Viet Nam,1931,1,20.7358,86,34.456,1.6
Viet Nam,1931,2,22.4036,85,31.5782,1.6
Viet Nam,1931,3,23.5093,84,20.5265,1.8
Viet Nam,1931,4,27.3651,81,44.7925,1.5
Viet Nam,1931,5,27.9734,77,141.451,1.7
Viet Nam,1931,6,28.2249,73,235.028,2.5
Viet Nam,1931,7,27.3724,71,248.834,2.8
Viet Nam,1931,8,27.4723,82,276.803,2.9
Viet Nam,1931,9,26.1062,82,246.852,1.3
Viet Nam,1931,10,23.3562,84,182.984,1.4
Viet Nam,1931,11,22.1705,82,85.587,1.6
Viet Nam,1931,12,20.6232,82,50.3756,1.4
Viet Nam,1932,1,18.9438,86,10.0511,1.6
Viet Nam,1932,2,19.4223,85,38.0725,1.6
Viet Nam,1932,3,21.1113,84,36.6421,1.8
Viet Nam,1932,4,25.7433,81,84.244,1.5
Viet Nam,1932,5,28.1548,77,132.375,1.7
Viet Nam,1932,6,27.6412,73,204.775,2.5
Viet Nam,1932,7,26.9798,71,259.478,2.8
Viet Nam,1932,8,27.345,82,258.888,2.9
Viet Nam,1932,9,25.5666,82,274.263,1.3
Viet Nam,1932,10,24.0112,84,333.088,1.4
Viet Nam,1932,11,22.6985,82,95.6466,1.6
Viet Nam,1932,12,19.7984,82,37.1543,1.4
Viet Nam,1933,1,17.8952,84,35.3956,1.1
Viet Nam,1933,2,21.1641,85,29.4036,1.3
Viet Nam,1933,3,22.0227,84,39.3073,1.6
Viet Nam,1933,4,26.629,83,55.1317,1.6
Viet Nam,1933,5,27.1658,77,173.753,1.4
Viet Nam,1933,6,27.8508,71,174.35,1.4
Viet Nam,1933,7,27.0913,80,263.296,1.4
Viet Nam,1933,8,27.0242,78,218.072,1.4
Viet Nam,1933,9,26.472,82,244.022,1.2
Viet Nam,1933,10,24.3924,86,252.071,1.1
Viet Nam,1933,11,22.1385,86,206.402,1
Viet Nam,1933,12,21.6002,88,29.0882,0.9
Viet Nam,1934,1,17.9604,87,11.8828,1.6
Viet Nam,1934,2,20.708,83,56.3923,1.7
Viet Nam,1934,3,21.8809,85,43.3529,1.7
Viet Nam,1934,4,24.4243,80,60.5347,1.5
Viet Nam,1934,5,27.2684,80,116.22,1.5
Viet Nam,1934,6,27.1547,74,231.59,1.6
Viet Nam,1934,7,26.9375,76,319.73,1.5
Viet Nam,1934,8,26.9232,78,328.396,1.4
Viet Nam,1934,9,26.5738,81,257.08,1.4
Viet Nam,1934,10,23.4867,87,191.179,1.6
Viet Nam,1934,11,22.6142,85,213.371,1.7
Viet Nam,1934,12,20.825,85,57.9454,1.5
Viet Nam,1935,1,20.4565,84,19.6565,1.6
Viet Nam,1935,2,21.6425,85,39.9791,1.6
Viet Nam,1935,3,23.2669,84,14.7121,1.8
Viet Nam,1935,4,25.8311,83,43.9029,1.5
Viet Nam,1935,5,27.0002,77,195.616,1.7
Viet Nam,1935,6,27.4898,71,183.27,2.5
Viet Nam,1935,7,27.2227,80,314.222,2.8
Viet Nam,1935,8,27.0409,78,190.551,2.9
Viet Nam,1935,9,25.6769,82,240.601,1.3
Viet Nam,1935,10,25.4572,86,173.593,1.4
Viet Nam,1935,11,23.4926,86,213.276,1.6
Viet Nam,1935,12,19.6739,88,112.612,1.4
Viet Nam,1936,1,18.4575,86,27.4304,1.6
Viet Nam,1936,2,20.9412,85,24.1959,1.6
Viet Nam,1936,3,20.1724,84,37.9357,1.8
Viet Nam,1936,4,25.834,81,37.8698,1.5
Viet Nam,1936,5,26.8647,77,152.429,1.7
Viet Nam,1936,6,27.1557,73,216.941,2.5
Viet Nam,1936,7,27.0363,71,237.367,2.8
Viet Nam,1936,8,26.7778,82,346.019,2.9
Viet Nam,1936,9,25.8206,82,255.869,1.3
Viet Nam,1936,10,23.6201,84,150.765,1.4
Viet Nam,1936,11,23.2127,82,80.9889,1.6
Viet Nam,1936,12,21.5663,82,72.2895,1.4
Viet Nam,1937,1,20.2019,87,41.7636,1.1
Viet Nam,1937,2,21.2271,83,53.3205,1.3
Viet Nam,1937,3,23.4146,85,11.2434,1.6
Viet Nam,1937,4,26.1427,80,53.9171,1.6
Viet Nam,1937,5,26.7551,80,193.068,1.4
Viet Nam,1937,6,27.1068,74,188.31,1.4
Viet Nam,1937,7,26.9922,76,246.202,1.4
Viet Nam,1937,8,26.7505,78,321.046,1.4
Viet Nam,1937,9,26.1223,81,278.324,1.2
Viet Nam,1937,10,24.8498,87,143.887,1.1
Viet Nam,1937,11,22.7203,85,110.772,1
Viet Nam,1937,12,21.4383,85,63.3307,0.9
Viet Nam,1938,1,20.319,84,14.5836,1.6
Viet Nam,1938,2,20.8241,85,20.9255,1.7
Viet Nam,1938,3,21.4985,84,15.827,1.7
Viet Nam,1938,4,25.4814,83,60.4361,1.5
Viet Nam,1938,5,26.379,77,146.007,1.5
Viet Nam,1938,6,27.2996,71,214.523,1.6
Viet Nam,1938,7,26.5803,80,252.637,1.5
Viet Nam,1938,8,26.6128,78,280.744,1.4
Viet Nam,1938,9,26.1981,82,288.84,1.4
Viet Nam,1938,10,24.6157,86,299.608,1.6
Viet Nam,1938,11,22.0246,86,76.2557,1.7
Viet Nam,1938,12,21.2453,88,43.5625,1.5
Viet Nam,1939,1,19.985,86,17.223,1.6
Viet Nam,1939,2,21.2525,85,31.9604,1.6
Viet Nam,1939,3,22.6728,84,36.8148,1.8
Viet Nam,1939,4,24.6746,81,52.3682,1.5
Viet Nam,1939,5,26.7349,77,129.439,1.7
Viet Nam,1939,6,26.9823,73,195.422,2.5
Viet Nam,1939,7,27.154,71,311.489,2.8
Viet Nam,1939,8,26.8794,82,330.333,2.9
Viet Nam,1939,9,25.7482,82,325.138,1.3
Viet Nam,1939,10,24.9427,84,149.853,1.4
Viet Nam,1939,11,23.3696,82,164.525,1.6
Viet Nam,1939,12,18.3399,82,28.0971,1.4
Viet Nam,1940,1,18.6491,87,7.3929,1.6
Viet Nam,1940,2,21.0729,83,15.3306,1.6
Viet Nam,1940,3,22.2624,85,29.6858,1.8
Viet Nam,1940,4,24.9987,80,48.388,1.5
Viet Nam,1940,5,26.7184,80,165.559,1.7
Viet Nam,1940,6,27.4059,74,197.674,2.5
Viet Nam,1940,7,27.4297,76,293.258,2.8
Viet Nam,1940,8,26.715,78,260.936,2.9
Viet Nam,1940,9,26.6463,81,304.948,1.3
Viet Nam,1940,10,25.4413,87,169.959,1.4
Viet Nam,1940,11,22.9433,85,204.95,1.6
Viet Nam,1940,12,22.018,85,40.7774,1.4
Viet Nam,1941,1,22.4625,84,9.91701,1.1
Viet Nam,1941,2,22.5177,85,27.1684,1.3
Viet Nam,1941,3,22.9915,84,28.7968,1.6
Viet Nam,1941,4,25.7081,83,68.2371,1.6
Viet Nam,1941,5,27.1145,77,191.81,1.4
Viet Nam,1941,6,27.0946,71,264.869,1.4
Viet Nam,1941,7,27.5476,80,305.046,1.4
Viet Nam,1941,8,26.8881,78,300.364,1.4
Viet Nam,1941,9,25.8418,82,229.46,1.2
